new_index,neuron_id,body_id,type,side,column,row,col,lineage,birth,in_degree,out_degree,in_degree_new,out_degree_new,syn_in,syn_out,pre_types,post_types,pathways
0,850,850,T4b,L,39,4,7,T4b_L,48,0,11,0,9,0.0,61.0,,LPi_h:11,yaw
1,851,851,R1-R6,L,40,5,0,R1-R6_L,96,0,0,0,0,0.0,0.0,,,brightness
2,852,852,LAL_inh,L,40,5,0,LAL_inh_L,12,54,39,43,33,391.0,786.0,"PVLP:30,haltere:20,DNp03:2,HS:2",DNg02:39,"steer,←damping,←loom,←saccade,←yaw,→lift"
3,853,853,DNg02,L,0,0,0,DNg02_L,15,143,0,128,0,1755.0,0.0,"VS:50,LAL_inh:44,haltere:28,LPi_v:20",,"lift,←descend,←yaw,←climb,←steer,←damping"
4,854,854,T4c,R,29,3,5,T4c_R,48,0,7,0,3,0.0,36.0,,VS:7,climb
5,855,855,T4d,R,44,5,4,T4d_R,48,0,28,0,25,0.0,183.0,,LPi_v:28,descend
6,856,856,T4b,L,18,2,2,T4b_L,49,0,18,0,16,0.0,101.0,,LPi_h:18,yaw
7,857,857,T4c,L,9,1,1,T4c_L,48,0,24,0,21,0.0,158.0,,VS:24,climb
8,858,858,T4a,L,5,0,5,T4a_L,48,0,1,0,0,0.0,14.0,,HS:1,yaw
9,859,859,T4d,R,36,4,4,T4d_R,49,0,25,0,20,0.0,135.0,,LPi_v:25,descend
10,860,860,T4c,R,3,0,3,T4c_R,49,0,9,0,7,0.0,67.0,,VS:9,climb
11,861,861,DNg02,L,16,2,0,DNg02_L,16,179,0,157,0,2063.0,0.0,"LAL_inh:62,VS:60,haltere:30,LPi_v:25",,"lift,←descend,←yaw,←climb,←steer,←damping"
12,862,862,T4d,L,22,2,6,T4d_L,48,0,22,0,19,0.0,137.0,,LPi_v:22,descend
13,863,863,DNg02,R,28,3,4,DNg02_R,15,158,0,144,0,1798.0,0.0,"LAL_inh:56,haltere:49,LPi_v:43,VS:9",,"lift,←damping,←descend,←yaw,←steer,←climb"
14,864,864,T4c,L,44,5,4,T4c_L,49,0,10,0,7,0.0,50.0,,VS:10,climb
15,865,865,LPi_v,L,28,3,4,LPi_v_L,10,128,58,107,52,821.0,637.0,T4d:128,"DNg02:51,VS:7","descend,→climb,→lift"
16,866,866,T4d,L,0,0,0,T4d_L,49,0,26,0,24,0.0,227.0,,LPi_v:26,descend
17,867,867,T4a,L,44,5,4,T4a_L,49,0,3,0,0,0.0,17.0,,HS:3,yaw
18,868,868,R1-R6,L,32,4,0,R1-R6_L,97,0,0,0,0,0.0,0.0,,,brightness
19,869,869,R1-R6,R,34,4,2,R1-R6_R,96,0,1,0,1,0.0,1.0,,PVLP:1,"brightness,→loom"
20,870,870,DNg02,R,32,4,0,DNg02_R,16,165,0,147,0,2182.0,0.0,"VS:66,LAL_inh:56,haltere:22,LPi_v:19",,"lift,←damping,←climb,←descend,←yaw,←steer"
21,871,871,LPLC2,R,30,3,6,LPLC2_R,24,0,62,0,54,0.0,530.0,,PVLP:62,loom
22,872,872,T4b,R,44,5,4,T4b_R,48,0,12,0,8,0.0,120.0,,LPi_h:12,yaw
23,873,873,T4b,L,28,3,4,T4b_L,50,0,17,0,14,0.0,94.0,,LPi_h:17,yaw
24,874,874,T4b,L,45,5,5,T4b_L,51,0,9,0,5,0.0,54.0,,LPi_h:9,yaw
25,875,875,R1-R6,R,19,2,3,R1-R6_R,97,0,1,0,1,0.0,1.0,,PVLP:1,"brightness,→loom"
26,876,876,haltere,R,24,3,0,haltere_R,16,0,74,0,65,0.0,385.0,,"LAL_inh:41,DNg02:33","damping,→lift,→steer"
27,877,877,haltere,L,33,4,1,haltere_L,16,0,65,0,56,0.0,386.0,,"DNg02:44,LAL_inh:21","damping,→steer,→lift"
28,878,878,T4b,R,37,4,5,T4b_R,49,0,21,0,17,0.0,132.0,,LPi_h:21,yaw
29,879,879,T4b,L,6,0,6,T4b_L,52,0,19,0,18,0.0,115.0,,LPi_h:19,yaw
30,880,880,T4b,R,10,1,2,T4b_R,50,0,22,0,19,0.0,133.0,,LPi_h:22,yaw
